Naam;Omschrijving;Kode;URL;EC;BoekVerplicht;Lesuren;Video;Slides;Allen;BDAM;FICT;SE;IAT;GI-BE;GI-AN;GI-AD;GI-ON;GI-RE;BP-BE;BP-AN;BP-AD;BP-ON;BP-RE;IS-BE;IS-AN;IS-AD;IS-ON;IS-RE;SW-BE;SW-AN;SW-AD;SW-ON;SW-RE;HI-BE;HI-AN;HI-AD;HI-ON;HI-RE;aantal1;aantal2;aantal3;level;S-GI-BE;S-GI-AN;S-GI-AD;S-GI-ON;S-GI-RE;S-BP-BE;S-BP-AN;S-BP-AD;S-BP-ON;S-BP-RE;S-IS-BE;S-IS-AN;S-IS-AD;S-IS-ON;S-IS-RE;S-SW-BE;S-SW-AN;S-SW-AD;S-SW-ON;S-SW-RE;S-HI-BE;S-HI-AN;S-HI-AD;S-HI-ON;S-HI-RE
iad1;Algoritmen en Datastructuren 1;rugo2q4;https://hogeschoolleiden.sharepoint.com/sites/og1920.iad1-algoritmen-en-datastructuren-1/SitePages/Home.aspx;3;J;;MS;PPT;;;;V;;;;;;;;;;;;;;;;;;;;2;2;;;;;;0;2;0;2;;;;;;;;;;;;;;;;;;;2;2;;;;;
iarch;IT Architectuur;27tklmp;https://hogeschoolleiden.sharepoint.com/sites/og1920.iarch-it-architectuur/SitePages/Home.aspx;3;;;MS;PDF;V;;;;;;;;;1;;;;;;;;;;1;;;;;1;;1;;;1;5;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
ibdw;Business Intelligence & Data Warehousing;v7ov03f;https://hogeschoolleiden.sharepoint.com/sites/og1920.ibdw-business-intelligence-en-data-warehousing/SitePages/Home.aspx;3;;;;;;V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
ibk5;Opzetten eigen IT bedrijf ;dfm60tc;https://hogeschoolleiden.sharepoint.com/sites/og1920.ibk5-opzetten-eigen-it-bedrijf/SitePages/Home.aspx;3;;;;;K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
icomas;Assessment en Zelfonderzoek;70drgk9;https://hogeschoolleiden.sharepoint.com/sites/og1920.icomas-assessment-en-zelfonderzoek/SitePages/Home.aspx;3;J;;;PDF;K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
icommha;Communicatie Hoofdfase;2yg5607;https://hogeschoolleiden.sharepoint.com/sites/og1920.icommha-communicatie-hoofdfase/SitePages/Home.aspx;3;;;MS;PPT;V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
icommpr;Communicatie 1;bimjfdb;https://hogeschoolleiden.sharepoint.com/sites/og1920.icommpr-communicatie-1/SitePages/Home.aspx;3;;;;;V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
icpt;Concepten in Programmeertalen;i3by9ve;https://hogeschoolleiden.sharepoint.com/sites/og1920.icpt-concepten-in-programmeertalen/SitePages/Home.aspx;3;J;;;PPT;;;;V;;;;;;;;;;;;;;;;;;;;3;;;;;;;0;0;1;3;;;;;;;;;;;;;;;;;;;2;;;;;;
idaan2;Data-analyse 2;41042c8;https://hogeschoolleiden.sharepoint.com/sites/og1920.idaan2-data-analyse-2/SitePages/Home.aspx;3;J;;;PDF;;V;;;;;;;;;;3;;;;;3;;;;;2;;;;;;;;;0;1;2;3;;;;;;;3;;;;;2;;;;;2;;;;;;;;
idam;Datamanagement;eysmpbb;https://hogeschoolleiden.sharepoint.com/sites/og1920.idam-datamanagement/SitePages/Home.aspx;3;J;;;;;V;;;;;;;;;2;;;;;2;;2;;;;;2;;;;;;;;0;4;0;2;1;1;1;1;1;;1;1;;;1;;;;;1;;;;;;;;;
idana1;Data-analyse Basis;in3ai1g;https://hogeschoolleiden.sharepoint.com/sites/og1920.idana1-data-analyse-basis/SitePages/Home.aspx;3;;;MS;PPT;;V;;;;;;;;;;;2;;;;;2;;;;;2;;;;;;;;0;3;0;2;;;;;;;;1;;;;;1;;;;;1;;;;;;;
idarch;Data Architectuur;zs0fx07;https://hogeschoolleiden.sharepoint.com/sites/og1920.idarch-data-architectuur/SitePages/Home.aspx;3;;;;PDF;;V;;;;;;;;;;2;3;3;;;;;;;;3;3;;;;;;;;0;1;4;3;;;;;;;2;2;2;;;;;;;;2;2;;;;;;;
idare;Data Realisatie;2578gf0;https://hogeschoolleiden.sharepoint.com/sites/og1920.idare-data-realisatie/SitePages/Home.aspx;3;J;;MS;PDF;;V;;;;;;;;;;3;2;3;;;;;;;;;;;;;;;;;0;1;2;3;;;;;;;2;2;2;;;;;;;;;;;;;;;;
idepa;Inleiding Design Patterns;0a6hicd;https://hogeschoolleiden.sharepoint.com/sites/og1920.idepat-design-patterns/SitePages/Home.aspx;3;J;;;;K;;;;;;;;;;;;;;;;;;;;;;3;2;;;;;;;0;1;1;3;;;;;;;;;;;;;;;;;;3;2;;;;;;
idepat;Design Patterns;rfvpoy2;https://hogeschoolleiden.sharepoint.com/sites/og1920.idepat-design-patterns/SitePages/Home.aspx;3;;;;;;;;V;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
iethi;Ethiek;1ascc9w;https://hogeschoolleiden.sharepoint.com/sites/og1920.iethi-ethiek/SitePages/Home.aspx;3;;;;;V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
ifedy;E-Discovery;ufwr443;https://hogeschoolleiden.sharepoint.com/sites/og1920.ifedy-e-discovery/SitePages/Home.aspx;3;J;;YT;PDF;;;V;;;;;;;;;3;2;;;;2;;;;;2;;;;;;;;;0;3;1;3;;;;;;;2;1;;;;2;;;;;2;;;;;;;;
ifito;Inleiding Forensisch ICT Onderzoek;gpmb4ii;https://hogeschoolleiden.sharepoint.com/sites/og1920.ifito-inleiding-forensisch-ict-onderzoek/SitePages/Home.aspx;3;J;;MS;;V;;;;;;;;;;;1;;;1;;1;;;;;1;;;;;;;;;4;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
ifma;Malware analyse in systemen;(via PWI);https://hogeschoolleiden.sharepoint.com/sites/og1920.ifma-malware-analyse-in-systemen/SitePages/Home.aspx;3;;;;;;;V;;;;;;;;;2;;;;;2;;1;;;2;;;;;;;;;1;3;0;2;;;;;;;1;;;;;1;;1;;;1;;;;;;;;
ifnwr;Netwerkonderzoek;uphmu30;https://hogeschoolleiden.sharepoint.com/sites/og1920.ifnwr-netwerkonderzoek/SitePages/Home.aspx;3;J;;;;;;V;;;;;;;;1;1;1;;;;2;1;;;2;2;1;;;;;;;;5;3;0;2;;;;;;;1;1;;;;1;;;;1;1;;;;;;;;
ifosi;Internetonderzoek;lyqnneb;https://hogeschoolleiden.sharepoint.com/sites/og1920.ifosi-internetonderzoek;3;;;;PPT;;;V;;;;2;;;;1;1;;;;;3;;;;;2;;;;;;;;;2;2;1;3;;1;;;;;1;;;;;2;;;;;1;;;;;;;;
ifp2;Functioneel Projectmanagement;3swizds;https://hogeschoolleiden.sharepoint.com/sites/og1920.ifp2-functioneel-projectmanagement/SitePages/Home.aspx;3;J;;;;;;;;;;;;;;2;;;;3;;;;;;;;;;;;;;;;0;1;1;3;;;;;;1;;;;2;;;;;;;;;;;;;;;
ifrcht;Recht voor forensisch It-ers;6msu36a;https://hogeschoolleiden.sharepoint.com/sites/og1920.ifrcht-recht-voor-forensisch-it-ers;3;J;;;PPT;;;V;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
ifto;Technisch Onderzoek;espsnz1;https://hogeschoolleiden.sharepoint.com/sites/og1920.ifto-technisch-onderzoek/SitePages/Home.aspx;3;;;MS;PDF;;;V;;;;2;2;;;;;;;;;;;;;2;2;2;;;;2;1;1;;2;6;0;2;;1;1;;;;;;;;;;;;;1;1;1;;;;1;;;
iiatimd;Interactie-technologie Programming for Mobile Devices;l8qvgru;https://hogeschoolleiden.sharepoint.com/sites/og1920.iiatimd-interactie-technologie-programming-for-mobile-dev/SitePages/Home.aspx;3;;;;;;;;;V;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
iibpm;Inleiding Informatie management;uyxol96;https://hogeschoolleiden.sharepoint.com/sites/og1920.iibpm-inleiding-informatiemanagement/SitePages/Home.aspx;3;;;;;V;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;2;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
iibui;Inleiding Business Intelligence;9z28lhu;https://hogeschoolleiden.sharepoint.com/sites/og1920.iibui-inleiding-business-intelligence/SitePages/Home.aspx;3;;;MS;PPT;V;;;;;;1;1;;;;1;1;;;;;;;;;;;;;;;;;;4;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
iipbdama;Project inleiding BDaM;pux9e2u;https://hogeschoolleiden.sharepoint.com/sites/og1920.iipbdama-project-inleiding-bdam/SitePages/Home.aspx;7;;;;;;V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
iipforit;Project inleiding FICT;zq3pqz8;https://hogeschoolleiden.sharepoint.com/sites/og1920.iipforit-project-inleiding-fict;7;;;;;;;V;;;;;;;;1;;;1;1;1;;;;;1;1;;;;;;;;;6;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
iipiata;Project inleiding IAT;n6sssag;https://hogeschoolleiden.sharepoint.com/sites/og1920.iipiata-project-inleiding-iat/SitePages/Home.aspx;7;;;;;;;;;V;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
iipr;Inleiding programmeren ;mkr63k5;https://hogeschoolleiden.sharepoint.com/sites/og1920.iipr-inleiding-programmeren/SitePages/Home.aspx;4;J;;MS;PDF;V;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
iipsene;Project inleiding SE;7xatdn5;https://hogeschoolleiden.sharepoint.com/sites/og1920.iipsene-project-inleiding-se/SitePages/Home.aspx;7;;;;;;;;V;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
iited;MINOR IT-educatie;70xjiy7;https://hogeschoolleiden.sharepoint.com/sites/og1920.iited-it-educatie/SitePages/Home.aspx;30;;;;PPT;K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
iitorg;Inleiding Organisatiekunde;djhygdg;https://hogeschoolleiden.sharepoint.com/sites/og1920.iitorg-inleiding-organisatiekunde;3;J;;MS;;V;;;;;;;;;;;2;2;2;;;;;;;;;;;;;;;;;0;3;0;2;;;;;;;1;1;1;;;;;;;;;;;;;;;;
iitps;IT Psychologie;zzg53mi;https://hogeschoolleiden.sharepoint.com/sites/og1920.iitps-it-psychologie;3;J;;;PDF;K;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;2;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
